"1-hand","Una mano"
"Roll a ten-sided die again to determine a skill to aid in learning of your ancestor's fate; gain +1 rank in that skill.","Tira de nuevo un dado de diez caras para determinar una habilidad que te ayude a descubrir el destino de tu ancestro; adquiere un nivel adicional en esta habilidad."
"Roll a ten-sided die again to determine a skill to aid in learning of your ancestor's fate; gain +1 rank in that skill. Additionally, your ancestor might still be alive, in the Shadowlands...waiting.","Tira de nuevo un dado de diez caras para determinar una habilidad que te ayude a descubrir el destino de tu ancestro; adquiere un nivel adicional en esta habilidad. Además, tu ancestro puede seguir vivo, en las Tierras Sombrías... esperando."
"Roll a ten-sided die again to determine a skill to aoid in restoring your ancestor's name; gain +1 rank in that skill.","Tira de nuevo un dado de diez caras para determinar una habilidad que te ayude a limpiar el nombre de tu ancestro; adquiere un nivel adicional en esta habilidad."
"Roll a ten-sided die again to determine an Artisan skill; gain +1 rank in that skill.","Tira de nuevo un dado de diez caras para determinar una habilidad artesanal; adquieres un nivel adicional en esta habilidad."
"Roll a ten-sided die and add the resulting family heirloom to your starting items. You choose one quality and the GM chooses one quality from the list of item qualities on page 240 of the core rulebook; these are applied to the item.",""
"Roll a ten-sided die to determine a skill that can aid you in discovering the truth about your lineage.",""
"Roll a ten-sided die to determine a skill to aid you in bringing your disgraced kin to justice.",""
"Rope (fifty feet)",""
"Rope (per foot, cheap)","Cuerda (barata, cada 30 cm)"
"Rope (per foot, expensive)","Cuerda (cada, cada 30 cm)"
"Rope (twenty feet)","Cuerda (6 metros)"
"Rouse the Soul","Conmover el alma"
"Rushing Avalanche Style","Estilo de la avalancha precipitada"
"Rustling of Leaves","El susurro de las hojas"
"Ruthless Victor","Vencedor despiadado"
"Sacred","Sagrada"
"Sacred Arrows","Flechas sagradas"
"Sacred Art of Steel","El sagrado arte del acero"
"Sacred Fist","Puño sagrado"
"Sai","Sai"
"Sailor's Fortune","La suerte del marinero"
"Sailor's Garb","Ropa de marinero"
"Sailor's Tongue","La labia del marinero"
"Sake","Sake"
"Sake Cup","Taza de sake"
"Sanctified Robes","Ropa consagrada"
"Sapper's Kit","Equipo de zapador"
"Satchel of Imperial Proclamations","Bolsa de decretos imperiales"
"Satchel of Medicinal Supplies","Bolsa de suministros médicos"
"Scholar skill","Habilidad académica"
"Scholar skills","Habilidades académicas"
"School of Waves","La escuela de las olas"
"Scimitar","Cimitarra"
"Scorn of [One Group]","Desprecio de [un grupo]"
"Scorpion","Escorpión"
"Scouring Sirocco","Siroco desgarrador"
"Scroll Satchel","Bolsa de pergaminos"
"Scroll designating rank",""
"Sea Legs","Equilibrio de marinero"
"Seafaring","Navegación"
"Sear the Wound","Quemar la herida"
"Seasoned","Veterano"
"Secrets","Secretos"
"Secrets on the Wind","Secretos en el viento"
"Sekihitsu",""
"Self-awareness, insight or mysticism","Conocimiento de uno mismo, perspicacia o misticismo"
"Sensational Distraction","Distracción espectacular"
"Sensing the Breeze","Sentir la brisa"
"Sentiment","Sentimiento"
"Seppun","Seppun"
"Seppun Astrologer School","Escuela de astrólogo Seppun"
"Seppun Palace Guard School","Escuela de guardia de palacio Seppun"
"Servant of the Kami","Siervo de los kami"
"Set of glass vials","Juego de viales de cristal"
"Shadowlands Taint (Air)","Mancha de las Tierras Sombrías (Aire)"
"Shadowlands Taint (Earth)","Mancha de las Tierras Sombrías (Tierra)"
"Shadowlands Taint (Fire)","Mancha de las Tierras Sombrías (Fuego)"
"Shadowlands Taint (Void)","Mancha de las Tierras Sombrías (Vacío)"
"Shadowlands Taint (Water)","Mancha de las Tierras Sombrías (Agua)"
"Shadowlands Taint [Blasphemous Appetites]","Mancha de las Tierras Sombrías [Apetitos blasfemos]"
"Shadowlands Taint [Distorted Limbs]","Mancha de las Tierras Sombrías [extremidades retorcidas]"
"Shadowlands Taint [Kaisen Whispers]","Mancha de las Tierras Sombrías [Susurros de los kansen]"
"Shadowlands Taint [One with the Darkness]","Mancha de las Tierras Sombrías [Uno con la oscuridad]"
"Shadowlands Taint [Unnatural Skin]","Mancha de las Tierras Sombrías [Piel antinatural]"
"Shakuhachi",""
"Shallow Waters","Aguas someras"
"Shape the Flesh","Transformar la carne"
"Shark Leather Armor","Armadura de cuero de tiburón"
"Sharpened Ki","Ki afilado"
"Shell of the Tortoise","El caparazón de la Tortuga"
"Shiba","Shiba"
"Shiba Artist School",""
"Shiba Guardian School","Escuela de guardián Shiba"
"Shields","Escudos"
"Shika",""
"Shika Matchmaker School",""
"Shika Spear Dancer School",""
"Shinjo","Shinjo"
"Shinjo Outrider School","Escuela de batidor Shinjo"
"Shinobi","Shinobi"
"Shinobi, Courtier","Shinobi, Cortesano"
"Shinobigatana",""
"Shinseist Monk Order","Monje de orden shinseísta"
"Shirogane Jade Inlay","Incrustaciones de jade Shirogane"
"Shosuro","Shosuro"
"Shosuro Infiltrator School","Escuela de infiltrador Shosuro"
"Shoulder","Hombro"
"Shugenja","Shugenja"
"Shugenja, Artisan","Shugenja, Artesano"
"Shugenja, Bushi","Shugenja, Bushi"
"Shugenja, Courtier, Shinobi","Shugenja, Cortesano, Shinobi"
"Shuriken","Shuriken"
"Shūji","Shūji"
"Siege Wepaons","Armas de asedio"
"Signature Scrolls","Pergaminos especiales"
"Silencing Stroke","Golpe silenciador"
"Silent Elimination",""
"Sinful Whispers","Susurros pecaminosos"
"Sixth Sense","Sexto sentido"
"Skepticism","Escepticismo"
"Skill","Habilidad"
"Skilled Attendant","Asistente entrenado"
"Skulduggery","Actividad criminal"
"Skulk","Merodear"
"Slayer's Slash","La estocada del cazador"
"Sleeping Garb","Ropa de dormir"
"Slicing Wind Kick",""
"Slippery Maneuvers","Maniobras escurridizas"
"Small Shield","Escudo pequeño"
"Small Stature","Pequeña estatura"
"Smithing","Herrería"
"Smithy's Kit","Equipo de herrero"
"Smoke Arrows","Flechas de humo"
"Snaring","Apresadora"
"Soaring Slice","Corte ascendente"
"Social skill","Habilidad social"
"Social skills","Habilidades sociales"
"Sode","Sode"
"Softheartedness","Blando de corazón"
"Sokutoki",""
"Soshi","Soshi"
"Soshi Illusionist School","Escuela de ilusionista Soshi"
"Soul Sunder","Destructor de almas"
"Speaking in Silence","Hablar en silencio"
"Specialist Weapons","Armas de especialista"
"Speed of Heaven","La velocidad del Cielo"
"Spices (common)","Especias (comunes)"
"Spices (rare)","Especias (raras)"
"Spin the Web","Tejer la tela"
"Spinning Blades Style","Estilo de las hojas giratorias"
"Spiritual","Espiritual"
"Spiritual Artisan","Artesano espiritual"
"Spiritual Protector","Protector espiritual"
"Spiritual Shackles","Grilletes espirituales"
"Spiritual, Interpersonal","Espiritual, Interpersonal"
"Spiritual, Scar","Espiritual, Cicatriz"
"Spiteful Love",""
"Spread Corruption","Extender la corrupción"
"Spy","Espía"
"Spy Network",""
"Spyglass","Catalejo"
"Stand of Honor","Lugar de honor"
"Stealth Clothing",""
"Still the Elements","Acallar los elementos"
"Stillness of Death",""
"Stir the Slumbering Spirit","Despertar al espíritu adormecido"
"Stirring the Embers","Remover las brasas"
"Stolen Knowledge","Conocimiento robado"
"Stonewall Tactics","Tácticas de obstrucción"
"Stories","Historias"
"Storm Bow","Arco de tormenta"
"Storm Fleet Sailor School","Escuela de marinero de la flota de tormenta"
"Storm Fleet Tide Seer","Vidente de las mareas de la flota de tormenta"
"Storm Lord's Gambit","La jugada del señor de la tormenta"
"Storm Surge","La oleada de la tormenta"
"Strength of a Thousand Ancestors","La fuerza de un millar de ancestros"
"Stride the Waves","Surcar el oleaje"
"Strike First, Strike Last",""
"Strike the Tsunami","El gope del tsunami"
"Strike with No Thought","Golpe del no pensamiento"
"Striking as Air","Golpe de Aire"
"Striking as Earth","Golpe de Tierra"
"Striking as Fire","Golpe de Fuego"
"Striking as Void","Golpe de Vacío"
"Striking as Water","Golpe de Agua"
"Subtle","Discreta"
"Subtle Observer","Observador sutil"
"Sudden Clarity",""
"Suijin's Embrace","El abrazo de Suijin"
"Summon Fog","Invocar niebla"
"Superstition","Superstición"
"Support of [One Group]","Apoyo de [un grupo]"
"Support of the Kakita Dueling Academy",""
"Suppressing Blows","Golpes supresores"
"Survival","Supervivencia"
"Sweets (per four servings)","Dulces (cada cuatro piezas)"
"Swirling Desert Wind","Torbellino del desierto"
"Sword of Blood","Espada sangrienta"
"Swords","Espadas"
"Sworn Enemy","Enemigo mortal"
"Symbol of Earth","Símbolo de Tierra"
"Sympathetic Energies","Energías solidarias"
"Tactical Assessment","Valoración estratégica"
"Tactics","Estrategia"
"Tainted Blood","Sangre manchada"
"Tainted Warrior","Guerrero manchado"
"Take Them Alive","Cogedles con vida"
"Taketaba","Taketaba"
"Taraibune","Taraibune"
"Tatami Gusoku","Tatami Gusoku"
"Tate","Tate"
"Tattoo Needles (per set)","Agujas para tatuar (por juego)"
"Tea","Té"
"Tea Ceremony","Ceremonia del té"
"Tea Set (portable)","Juego de té (portátil)"
"Technique","Técnica"
"Tekagi",""
"Tekkan","Tekkan"
"Tekken",""
"Tempest of Air","Tempestad de Aire"
"Tent (chomchong)","Tienda de campaña (chomchong)"
"Tent (small)","Tienda de campaña (pequeña)"
"Tent (yurt)","Tienda de campaña (yurta)"
"Tenugui",""
"Tessen","Tessen"
"Tetsubō","Tetsubō"
"Tetsubō of Earth","Tetsubō de Tierra"
"The Blood Price","El precio en sangre"
"The Body is an Anvil","El cuerpo es un yunque"
"The Cleansing Fire","Fuegos purificadores"
"The Clouds Part","Las nubes se apartan"
"The Damned","Los malditos"
"The Effortless Path","La senda natural"
"The Eyes Betray the Heart","Los ojos traicionan al corazón"
"The Families of the Fleet","Las familias de la flota"
"The Final Silence","El silencio final"
"The Fires from Within","Fuegos internos"
"The Great Silence","El gran silencio"
"The Immovable Hand of Peace","La mano inmutable de la paz"
"The Imperial Families","Las familias Imperiales"
"The Kami's Whisper","El susurro de los kami"
"The Lady's Grace","La elegancia de la Dama"
"The Lowest Bow",""
"The Mountain Does Not Fall","La montaña no cae"
"The Path of Shadows","La senda de las sombras"
"The Rushing Wave","La ola apresurada"
"The Soul's Blade","La hoja del alma"
"The Spirits Unbound","Espíritus desatados"
"The Standing Death",""
"The Ties that Bind",""
"The Way of Names","La senda de los nombres"
"The Wind Blows Both Ways","El viento sopla en ambos sentidos"
"The deed to a small piece of land on the border of Lion territory",""
"Theology","Teología"
"Thoroughness, patience or calm","Minuciosidad, paciencia o calma"
"Threshold Barrier","Barrera del umbral"
"Thunderclap Strike","Golpe atronador"
"Tinbe","Tinbe"
"To Float or Sink",""
"To Tread the Sword","Hollar la espada"
"Togashi Chronicler School",""
"Togashi Order","Orden Togashi"
"Togashi Tattooed Order","Orden de monjes tatuados Togashi"
"Token of Memory","Recuerdo simbólico"
"Tomb of Jade","Tumba de jade"
"Tonfa","Tonfa"
"Toritaka","Toritaka"
"Toritaka Phantom Hunter School","Escuela de cazador de fantasmas Toritaka"
"Tortoise","Tortuga"
"Tosei-Gusoku","Tosei-Gusoku"
"Touch the Void Dragon","El toque del dragón de Vacío"
"Touchstone of Courage","Los cimientos del coraje"
"Traces of Passage","Señales de paso"
"Trade skill","Habilidad mercantil"
"Trade skills","Habilidades mercantiles"
"Travel","Viajes"
"Traveling Clothes","Ropa de viaje"
"Traveling Pack","Equipo de viaje"
"Traveling Rations (per meal)","Raciones de viajes (cada comida)"
"Treasures of the Carp","Tesoros de la carpa"
"Treaty Signing",""
"Tributaries of Trade","Afluentes comerciales"
"Trident","Tridente"
"Trip the Leg",""
"Triumph During Gempuku",""
"Triumph Over the Lion",""
"Truth Burns through Lies","La verdad consume las mentiras"
"Tsuruhashi","Tsuruhashi"
"Twenty Goblin Thief","Ladrón de veinte trasgos"
"Twenty-Goblin Crab","Cangrejo de veinte trasgos"
"Twisted Summons","Invocación retorcida"
"Two Items of Rarity 4 or Lower","Dos artículos de rareza 4 o inferior"
"Two Weapons of Rarity 6 or Lower","Dos armas de rareza 6 o inferior"
"Typhoon in the Bamboo Grove",""
"Uchema's Technique","La técnica de Uchema"
"Uchitake",""
"Umbrella","Paraguas"
"Unarmed",""
"Unforgivable Performance",""
"Unholy","Impío"
"Unholy Fervor","Fervor impío"
"Unicorn","Unicornio"
"Unicorn Warhorse","Caballo de guerra Unicornio"
"Unsavory Past",""
"Unusual Name Origin","Nombre de origen inusual"
"Unyielding Terms",""
"Usher in the New Age","Dar paso a la nueva era"
"Utaku","Utaku"
"Utaku Battle Maiden School","Escuela de doncella de batalla Utaku"
"Utaku Steed","Corcel Utaku"
"Vapor of Nightmares","Vapor de pesadilla"
"Veiled Menace Style","Estilo de la amenaza velada"
"Vendor of Strange Wares","Proveedor de extrañas mercancías"
"Vengeance for the Fallen","Venganza por los caídos"
"Victory before Honor",""
"Victory is the Greatest Honor",""
"Vigilance of Mind","Mente vigilante"
"Voice of Authority","La voz de la autoridad"
"Voice of the Emperor","La voz del Emperador"
"Void","Vacío"
"Void Kihō","Kihō de Vacío"
"Void Shūji","Shūji de Vacío"
"Void ring exchange","Intercambio del anillo de Vacío"
"Wakizashi","Wakizashi"
"Wall of Earth","Muro de Tierra"
"Wall of Fire","Muro de Fuego"
"Warded Shikigami","Shikigami protegido"
"Wargear","Bélica"
"Warrior's Resolve","La determinación del guerrero"
"Water","Agua"
"Water Fist","Puño de Agua"
"Water Invocations","Invocaciones de Agua"
"Water Kihō","Kihō de Agua"
"Water Shūji","Shūji de Agua"
"Way of the Carp","La senda de la carpa"
"Way of the Crab","La senda del Cangrejo"
"Way of the Crane","La senda de la Grulla"
"Way of the Dragon","La senda del Dragón"
"Way of the Earthquake","La senda del terremoto"
"Way of the Edgeless Sword","La senda de la espada sin filo"
"Way of the Falling Star","La senda de la estrella fugaz"
"Way of the Lion","La senda del León"
"Way of the Phoenix","La senda del Fénix"
"Way of the Scorpion",""
"Way of the Seafoam","La senda de la espuma marina"
"Way of the Tortoise","La senda de la Tortuga"
"Way of the Willow","La senda del sauce"
"Weakness Is My Strength","La debilidad es mi fuerza"
"Web of Lies",""
"Weight of Duty","La carga del deber"
"Well Connected","Bien conectado"
"Well Connected in [City]",""
"Well Traveled","Viajero"
"Well of Desire","Fuente de deseo"
"What's Yours Is Mine",""
"Whetstone","Piedra de afilar"
"Whispers of Court","Susurros de la corte"
"Whispers of Cruelty","Rumores de crueldad"
"Whispers of Doom","Rumores de perdición"
"Whispers of Failure","Rumores de fracaso"
"Whispers of Poverty","Rumores de pobreza"
"Whispers of Treachery","Rumores de traición"
"Wings of the Phoenix","Las alas del Fénix"
"Wisdom of the Ages","La sabiduría de los siglos"
"Witch Hunter","Cazador de brujos"
"Wolf's Proposal","La proposición del lobo"
"Wondrous Work","Obra maravillosa"
"Wordplay","Juegos de palabras"
"World of Shadows","Mundo de sombras"
"Worldly Rōnin Path","Senda del rōnin experimentado"
"Wrath of Kaze-no-Kami","La ira de Kaze-no-Kami"
"Yari","Yari"
"Yari of Air","Yari de Aire"
"Yasuki","Yasuki"
"Yasuki Merchant School","Escuela de comerciante Yasuki"
"Yasuki Yōjimbō School",""
"Yasunori Steel","Acero Yasunori"
"Yogo","Yogo"
"Yogo Preserver School","Escuela de preservador Yogo"
"Yogo Wardmaster School","Escuela de maestro de protecciones Yogo"
"Yoriki","Yoriki"
"Yotogi's Piercing Gaze","La mirada penetrante de Yotogi"
"You gain the Benten's Curse (air) disadvantage (see page 116 of the core rulebook). Rolla ten-sided die to determine a skill that will help redeem your family.",""
"You gain the Blessed Lineage advantage (see page 103 of the core rulebook). This can be assigned in excess of the normal limitations on disadvantages at character creation. While on the Wall, your glory rank is treated as 1 higher.","Adquieres la ventaja Linaje bendito (consulta la página ++103++ del manual básico). Esta puede asignarse por encima de las limitaciones normales de desventajas durante la creación de personajes. Mientras te encuentres en la Muralla tu rango de Gloria se considera uno superior."
"You gain the Blessed Lineage advantage (see page 103) (this can be assigned in excess of the normal limitations on advantages at character creation).","Adquieres la ventaja Linaje bendito (consulta la página ++103++ del manual básico). Esta puede asignarse por encima de las limitaciones normales de desventajas durante la creación de personajes."
"You gain the Fallen Ancestor disadvantage (see 98). Choose one of your character's rings; you may reduce the value of that ring by 1 to increase the value of your Void Ring by 1 (this still cannot raise it above 3).","Adquieres la desventaja Ancestro caído (consulta la página ++98++). Elige uno de los anillos de tu ancestro; puedes reducir en 1 el valor de ese anillo para incrementar el valor de su anillo de Vacío (aunque sigue sin poder subir por encima de 3)."
"You gain the Haunting (Void) adversity (see page 122 of the core rulebook). This can be assigned in excess of the normal limitations on disadvantages at character creation. Roll a ten-sided die again to determine a Martial skill; gain +1 rank in that skill.","Adquieres la adversidad Fantasma (Vacío) (consulta la página ++122++ del manual básico). Esta ventaja puede asignarse por encima de las limitaciones normales de desventajas durante la creación de personajes. Tira de nuevo un dado de diez caras para determinar una habilidad marcial: adquieres un nivel adicional en esta habilidad."
"You gain the Isolation anxiety (see page 103). Choose one of your character's rings; you may reduce the value of this ring by 1 to increase the value of your Fire or Air Ring bi 1 (this still cannot raise it above 3).",""
"You gain the Support of the Kakita Dueling Academy distinction, where the Topaz Championship takes place.",""
"You know one additional technique. Roll a ten-sided die again to determine the category, and then select one technique with a prerequisite of school rank 1 and learn that technique. You can perform that technique even if it is not normally allowed by your school.","Conoces una técnica adicional. Tira de nuevo un dado de diez caras para determinar la categoría, y luego elige una técnica con un prerrequisito de rango de escuela 1 y apréndela. Puedes ejecutar esta técnica aunque normalmente tu escuela no te lo permita."
"Yumi","Yumi"
"Yōjimbō","Yōjimbō"
"Zanbatō","Zanbatō"
"another item","otro objeto"
"any","cualquiera"
"boat or estate","barco o hacienda"
"bu","bu"
"horse or other animal","caballo otro animal"
"koku","koku"
"lost family heirloom","herencia familiar perdida"
"other","otro"
"set of armor","conjunto de armadura"
"skill","habilidad"
"skill_group","grupo_habilidad"
"starting item","equipo inicial"
"technique","técnica"
"technique_group","grupo_técnica"
"weapon","arma"
"zeni","zeni"
"Ō-yoroi","Ō-yoroi"
"Ōtsuchi","Ōtsuchi"
